k,SSE,silhouette,calinski,davies,tanpsi,kneedle_distance
2,491621.40625,0.021530568599700928,170.3981170654297,7.603853810062318,0.0,0.0
3,484276.875,0.013629516586661339,162.2891082763672,5.69409954155548,-1.0144699612642492e-05,0.2883678801815853
4,477441.625,0.019822796806693077,157.4317169189453,5.861581676709546,2.1719428471138534e-05,0.4873983235263404
5,469414.71875,0.019831517711281776,162.809814453125,5.386744087207584,-2.4327547372198053e-05,0.8954675150393994
6,462699.1875,0.008775522001087666,161.13560485839844,4.996692105385182,-2.1906614538350227e-05,1.0734970551184064
7,456844.90625,0.03222612291574478,157.3287811279297,4.701313710712135,1.9182983240329908e-05,1.1004472702159418
8,450250.0,0.03397749364376068,157.7227783203125,4.4799117510223985,-1.219817512212396e-05,1.257316933864307
9,444146.125,0.03940620273351669,157.05294799804688,4.32659525039301,5.698679252624155e-06,1.3280505513067995
10,437822.28125,0.04216785356402397,157.6383514404297,4.108607652943202,-5.298729778363034e-06,1.4373707931522157
11,431703.46875,0.03697926551103592,158.02850341796875,3.97030608833937,-2.6888319368600753e-05,1.5107247268988133
12,426449.125,0.0421278178691864,156.60536193847656,3.9265754894738314,-2.775702852429365e-05,1.4324347068369043
13,421863.5625,0.04552539438009262,154.14743041992188,3.713433050772745,5.960342523529744e-05,1.2368279729169227
14,415553.3125,0.05121297016739845,156.10032653808594,3.4730783162470216,-3.9330820776060125e-05,1.3437636172889376
15,410497.78125,0.050233300775289536,155.50442504882812,3.4131067722168433,-2.2942833677191603e-05,1.2305981739493752
16,405967.6875,0.05732641741633415,154.16957092285156,3.444995130593475,-4.610525259974548e-05,1.025261185971262
17,402220.28125,0.057357072830200195,151.67919921875,3.271452074219739,6.477490094524733e-05,0.6826262018579552
18,397271.65625,0.0635870173573494,151.83474731445312,3.0174800404998385,-3.9741529528906554e-05,0.5507074068942414
19,393136.3125,0.06482739001512527,150.72607421875,3.1137620400868196,-5.145839932571176e-07,0.27612390102186296
20,389009.75,0.0629860982298851,149.8654022216797,3.0151973146372346,0.0,0.0
