index,cluster
0,10
1,3
2,9
3,4
4,4
5,4
6,9
7,4
8,9
9,3
10,3
11,9
12,5
13,9
14,9
15,9
16,6
17,9
18,3
19,3
20,3
21,2
22,9
23,3
24,3
25,3
26,8
27,4
28,4
29,3
30,2
31,3
32,4
33,9
34,3
35,3
36,5
37,3
38,3
39,2
40,9
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,4
50,9
51,9
52,3
53,9
54,9
55,9
56,9
57,9
58,9
59,9
60,9
61,9
62,9
63,9
64,9
65,9
66,9
67,9
68,8
69,3
70,3
71,9
72,3
73,9
74,9
75,4
76,9
77,4
78,9
79,10
80,3
81,9
82,4
83,4
84,9
85,9
86,4
87,4
88,9
89,10
90,9
91,5
92,5
93,4
94,8
95,9
96,5
97,5
98,10
99,9
100,9
101,5
102,4
103,9
104,9
105,4
106,9
107,4
108,9
109,9
110,4
111,9
112,9
113,1
114,9
115,3
116,3
117,9
118,9
119,9
120,9
121,9
122,9
123,9
124,9
125,9
126,3
127,9
128,4
129,9
130,9
131,9
132,5
133,3
134,1
135,3
136,1
137,9
138,0
139,5
140,9
141,1
142,10
143,5
144,1
145,3
146,9
147,3
148,3
149,5
150,5
151,3
152,4
153,1
154,3
155,9
156,3
157,4
158,10
159,3
160,10
161,10
162,9
163,3
164,3
165,9
166,9
167,4
168,4
169,1
170,1
171,3
172,9
173,2
174,5
175,10
176,5
177,2
178,9
179,6
180,4
181,6
182,5
183,5
184,10
185,10
186,9
187,10
188,4
189,9
190,4
191,9
192,2
193,4
194,3
195,4
196,10
197,1
198,6
199,4
200,4
201,5
202,4
203,0
204,1
205,9
206,6
207,2
208,3
209,4
210,4
211,0
212,3
213,4
214,4
215,9
216,1
217,9
218,4
219,2
220,5
221,6
222,2
223,2
224,4
225,2
226,4
227,2
228,4
229,4
230,2
231,4
232,2
233,4
234,4
235,5
236,8
237,3
238,3
239,8
240,9
241,6
242,2
243,4
244,2
245,6
246,4
247,2
248,5
249,10
250,3
251,9
252,6
253,2
254,4
255,9
256,10
257,3
258,6
259,6
260,2
261,5
262,6
263,6
264,0
265,8
266,3
267,2
268,3
269,2
270,2
271,2
272,9
273,5
274,4
275,4
276,6
277,4
278,4
279,4
280,5
281,1
282,1
283,8
284,2
285,1
286,4
287,6
288,9
289,2
290,3
291,10
292,9
293,8
294,3
295,9
296,4
297,6
298,3
299,6
300,4
301,1
302,4
303,4
304,4
305,9
306,5
307,4
308,9
309,6
310,4
311,3
312,3
313,6
314,3
315,4
316,10
317,8
318,1
319,1
320,9
321,6
322,3
323,8
324,10
325,5
326,9
327,9
328,10
329,5
330,10
331,9
332,1
333,8
334,0
335,9
336,7
337,9
338,3
339,5
340,4
341,1
342,1
343,4
344,0
345,3
346,0
347,6
348,9
349,4
350,4
351,1
352,1
353,3
354,4
355,3
356,2
357,1
358,8
359,6
360,4
361,6
362,1
363,2
364,6
365,4
366,5
367,4
368,4
369,4
370,5
371,0
372,0
373,0
374,1
375,6
376,5
377,4
378,4
379,3
380,7
381,0
382,9
383,4
384,9
385,5
386,4
387,4
388,5
389,4
390,5
391,3
392,1
393,10
394,0
395,3
396,3
397,10
398,0
399,6
400,6
401,6
402,4
403,10
404,4
405,4
406,9
407,1
408,7
409,1
410,3
411,4
412,4
413,4
414,1
415,9
416,3
417,4
418,4
419,6
420,4
421,3
422,2
423,9
424,1
425,9
426,9
427,9
428,3
429,4
430,5
431,4
432,5
433,3
434,1
435,6
436,5
437,9
438,4
439,4
440,4
441,9
442,9
443,9
444,4
445,10
446,4
447,6
448,6
449,6
450,4
451,10
452,8
453,1
454,1
455,8
456,4
457,10
458,4
459,7
460,6
461,1
462,3
463,3
464,4
465,1
466,6
467,8
468,5
469,4
470,5
471,6
472,6
473,9
474,4
475,4
476,6
477,4
478,2
479,2
480,3
481,1
482,3
483,5
484,5
485,1
486,5
487,4
488,1
489,4
490,3
491,5
492,3
493,9
494,5
495,1
496,5
497,1
498,4
499,0
500,1
501,4
502,1
503,9
504,6
505,9
506,10
507,0
508,1
509,4
510,4
511,4
512,9
513,6
514,6
515,1
516,9
517,4
518,3
519,5
520,7
521,5
522,4
523,1
524,4
525,6
526,6
527,5
528,9
529,6
530,7
531,6
532,6
533,1
534,3
535,1
536,9
537,9
538,4
539,3
540,6
541,4
542,4
543,4
544,3
545,4
546,9
547,3
548,9
549,3
550,6
551,1
552,3
553,8
554,9
555,0
556,4
557,8
558,4
559,8
560,6
561,6
562,9
563,3
564,4
565,6
566,4
567,3
568,6
569,10
570,3
571,4
572,5
573,1
574,5
575,6
576,4
577,3
578,9
579,6
580,5
581,6
582,6
583,8
584,10
585,9
586,4
587,3
588,1
589,6
590,1
591,9
592,4
593,3
594,4
595,5
596,4
597,3
598,1
599,4
600,9
601,6
602,3
603,9
604,4
605,3
606,6
607,4
608,9
609,3
610,1
611,9
612,6
613,1
614,0
615,8
616,9
617,3
618,4
619,6
620,4
621,5
622,4
623,8
624,7
625,9
626,4
627,4
