==========================================
      K-MEANS ANALYSIS REPORT (GPU)       
==========================================

Best K (Elbow Method):      7
Best K (Max Silhouette):    20

K     | SSE (Inertia)   | Silhouette   | Note
-------------------------------------------------------
2     | 6874.63         | 0.0557       | 
3     | 6656.09         | 0.0459       | 
4     | 6480.58         | 0.0450       | 
5     | 6277.83         | 0.0576       | 
6     | 6133.52         | 0.0604       | 
7     | 6030.12         | 0.0644       | [ELBOW] 
8     | 5988.77         | 0.0586       | 
9     | 5920.33         | 0.0584       | 
10    | 5788.89         | 0.0649       | 
11    | 5725.94         | 0.0634       | 
12    | 5674.51         | 0.0590       | 
13    | 5594.34         | 0.0622       | 
14    | 5535.66         | 0.0624       | 
15    | 5488.67         | 0.0628       | 
16    | 5434.83         | 0.0652       | 
17    | 5401.60         | 0.0641       | 
18    | 5356.94         | 0.0658       | 
19    | 5323.92         | 0.0646       | 
20    | 5276.87         | 0.0672       | [MAX SIL]
