emb_index,cluster_id
0,3
1,4
2,6
3,3
4,2
5,3
6,6
7,2
8,6
9,4
10,4
11,6
12,0
13,6
14,6
15,6
16,6
17,6
18,4
19,4
20,4
21,0
22,6
23,4
24,4
25,4
26,0
27,4
28,2
29,4
30,3
31,4
32,2
33,6
34,4
35,4
36,0
37,4
38,4
39,3
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,2
50,6
51,6
52,4
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,0
69,4
70,4
71,6
72,4
73,6
74,6
75,5
76,4
77,2
78,6
79,3
80,4
81,6
82,0
83,2
84,6
85,6
86,2
87,2
88,6
89,3
90,6
91,0
92,0
93,2
94,0
95,6
96,0
97,0
98,3
99,6
100,6
101,0
102,2
103,6
104,6
105,2
106,6
107,3
108,6
109,6
110,2
111,6
112,6
113,5
114,6
115,6
116,0
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,6
125,6
126,0
127,6
128,2
129,6
130,6
131,6
132,0
133,4
134,2
135,4
136,5
137,6
138,3
139,2
140,6
141,5
142,3
143,0
144,5
145,6
146,6
147,4
148,4
149,0
150,0
151,4
152,2
153,2
154,4
155,6
156,4
157,3
158,3
159,4
160,3
161,3
162,6
163,4
164,4
165,6
166,6
167,2
168,2
169,5
170,5
171,4
172,6
173,0
174,0
175,3
176,0
177,3
178,6
179,5
180,2
181,5
182,0
183,0
184,3
185,3
186,6
187,3
188,2
189,6
190,3
191,6
192,3
193,2
194,4
195,2
196,3
197,5
198,5
199,2
200,2
201,0
202,2
203,1
204,5
205,6
206,5
207,3
208,4
209,2
210,2
211,2
212,4
213,2
214,2
215,6
216,5
217,6
218,2
219,3
220,0
221,6
222,3
223,3
224,2
225,3
226,2
227,3
228,2
229,2
230,3
231,2
232,3
233,2
234,2
235,0
236,0
237,4
238,4
239,0
240,6
241,5
242,3
243,2
244,6
245,5
246,2
247,3
248,6
249,3
250,4
251,6
252,2
253,3
254,2
255,6
256,3
257,4
258,5
259,2
260,3
261,0
262,5
263,5
264,3
265,0
266,4
267,3
268,4
269,3
270,3
271,3
272,6
273,5
274,2
275,2
276,5
277,2
278,2
279,5
280,0
281,2
282,5
283,0
284,3
285,5
286,2
287,4
288,6
289,3
290,4
291,3
292,6
293,5
294,4
295,6
296,0
297,5
298,4
299,5
300,2
301,2
302,2
303,2
304,2
305,6
306,0
307,2
308,6
309,5
310,2
311,4
312,5
313,5
314,4
315,2
316,3
317,0
318,5
319,2
320,6
321,2
322,4
323,0
324,3
325,0
326,6
327,6
328,3
329,0
330,3
331,6
332,2
333,0
334,1
335,6
336,2
337,6
338,4
339,5
340,2
341,2
342,5
343,2
344,2
345,4
346,1
347,4
348,4
349,2
350,2
351,2
352,2
353,4
354,2
355,4
356,4
357,2
358,0
359,5
360,2
361,5
362,5
363,3
364,5
365,2
366,0
367,2
368,2
369,5
370,2
371,2
372,2
373,1
374,5
375,5
376,2
377,2
378,2
379,4
380,5
381,1
382,6
383,2
384,6
385,3
386,2
387,5
388,0
389,5
390,0
391,4
392,2
393,3
394,1
395,4
396,4
397,3
398,1
399,5
400,5
401,2
402,5
403,3
404,2
405,5
406,6
407,5
408,5
409,5
410,4
411,2
412,4
413,2
414,2
415,6
416,4
417,2
418,2
419,5
420,2
421,4
422,3
423,6
424,5
425,6
426,6
427,6
428,4
429,2
430,2
431,2
432,0
433,4
434,0
435,5
436,1
437,6
438,5
439,2
440,2
441,6
442,6
443,6
444,2
445,3
446,2
447,4
448,5
449,5
450,5
451,3
452,0
453,2
454,0
455,1
456,2
457,2
458,2
459,2
460,4
461,5
462,4
463,4
464,2
465,5
466,6
467,0
468,0
469,2
470,0
471,5
472,4
473,6
474,2
475,2
476,5
477,2
478,4
479,6
480,4
481,5
482,4
483,0
484,0
485,5
486,0
487,2
488,5
489,2
490,4
491,0
492,4
493,6
494,6
495,2
496,0
497,5
498,2
499,1
500,2
501,2
502,2
503,6
504,5
505,6
506,3
507,1
508,5
509,5
510,5
511,2
512,6
513,5
514,5
515,5
516,4
517,6
518,4
519,0
520,2
521,0
522,2
523,5
524,2
525,4
526,5
527,5
528,6
529,5
530,5
531,5
532,5
533,2
534,4
535,2
536,6
537,6
538,5
539,4
540,3
541,2
542,2
543,1
544,4
545,2
546,6
547,4
548,6
549,4
550,5
551,5
552,4
553,0
554,6
555,1
556,2
557,0
558,2
559,0
560,5
561,5
562,6
563,4
564,2
565,4
566,2
567,4
568,5
569,3
570,4
571,2
572,5
573,2
574,0
575,5
576,2
577,4
578,6
579,5
580,0
581,6
582,2
583,0
584,5
585,6
586,4
587,4
588,5
589,5
590,2
591,4
592,2
593,4
594,5
595,0
596,3
597,4
598,2
599,2
600,6
601,5
602,4
603,6
604,5
605,4
606,6
607,2
608,6
609,4
610,2
611,6
612,5
613,2
614,1
615,0
616,6
617,4
618,2
619,5
620,2
621,5
622,2
623,4
624,2
625,6
626,2
627,2
628,5
629,3
630,2
631,5
632,1
633,1
634,0
635,6
636,2
637,2
638,2
639,2
640,2
641,2
642,0
643,2
644,4
645,5
646,2
647,5
648,0
649,1
650,5
651,0
652,4
653,2
654,5
655,0
656,3
657,2
658,6
659,2
660,4
661,0
662,1
663,4
664,0
665,0
666,5
667,2
668,2
669,6
670,4
671,5
672,2
673,6
674,2
675,6
676,0
677,2
678,5
679,4
680,3
681,3
682,5
683,6
684,1
685,5
686,3
687,3
688,2
689,5
690,0
691,4
692,4
693,4
694,1
695,5
696,2
697,2
698,6
699,6
700,0
701,2
702,0
703,1
704,3
705,0
706,2
707,5
708,2
709,4
710,5
711,2
712,6
713,6
714,6
715,2
716,2
717,5
718,4
719,2
720,1
721,2
722,6
723,1
724,0
725,2
726,5
727,4
728,0
729,2
730,2
731,4
732,2
733,0
734,1
735,5
736,6
737,2
738,0
739,5
740,3
741,1
742,3
743,4
744,0
745,6
746,5
747,2
748,2
749,6
750,1
751,5
752,2
753,0
754,5
755,0
756,6
757,2
758,5
759,1
760,4
761,2
762,2
763,2
764,2
765,2
766,2
767,5
768,1
769,2
770,2
771,2
772,2
773,3
774,2
775,2
776,2
777,6
778,4
779,6
780,5
781,5
782,5
783,2
784,0
785,2
786,2
787,0
788,2
789,6
790,4
791,5
792,2
793,3
794,2
795,2
796,2
797,5
798,6
799,4
800,1
801,2
802,5
803,2
804,2
805,1
806,1
807,6
808,5
809,2
810,5
811,3
812,2
813,6
814,2
815,4
816,2
817,5
818,0
819,3
820,0
821,1
822,5
823,0
824,6
825,4
826,1
827,5
828,4
829,5
830,1
831,2
832,2
833,2
834,2
835,2
836,0
837,0
838,1
839,2
840,2
841,1
842,0
843,2
844,2
845,6
846,6
847,1
848,6
849,5
850,4
851,6
852,6
853,1
854,5
855,5
856,2
857,5
858,4
859,3
860,5
861,6
862,5
863,1
864,1
865,0
866,2
867,4
868,5
869,5
870,2
871,4
872,5
873,2
874,2
875,4
876,6
877,2
878,2
879,5
880,4
881,5
882,2
883,2
884,2
885,4
886,2
887,2
888,1
889,2
890,2
891,2
892,6
893,0
894,1
895,0
896,4
897,4
898,5
899,5
900,6
901,6
902,2
903,5
904,1
905,6
906,2
907,3
908,6
909,4
910,5
911,6
912,0
913,2
914,1
915,1
916,1
917,2
918,2
919,2
920,2
921,5
922,3
923,3
924,0
925,2
926,2
927,6
928,2
929,5
930,5
931,5
932,2
933,4
934,2
935,5
936,1
937,2
938,2
939,6
940,5
941,2
942,6
943,2
944,6
945,3
946,4
947,3
948,4
949,0
950,0
951,6
952,5
953,6
954,6
955,2
956,2
957,2
958,5
959,4
960,5
961,5
962,2
963,3
964,5
965,5
966,0
967,2
968,3
969,0
970,5
